machineId, number of GPUs, single GPU mem
m0,2, 12GB
m1,2, 12GB
m100,2, 12GB
m102,2, 12GB
m105,2, 12GB
m109,2, 12GB
m11,2, 12GB
m110,2, 12GB
m111,2, 12GB
m112,2, 12GB
m113,2, 12GB
m114,2, 12GB
m115,2, 12GB
m116,2, 12GB
m117,2, 12GB
m120,2, 12GB
m121,2, 12GB
m123,2, 12GB
m125,2, 12GB
m126,2, 12GB
m127,2, 12GB
m128,2, 12GB
m129,2, 12GB
m13,2, 12GB
m131,2, 12GB
m133,2, 12GB
m134,2, 12GB
m138,2, 12GB
m139,2, 12GB
m14,2, 12GB
m140,2, 12GB
m141,2, 12GB
m143,2, 12GB
m146,2, 12GB
m147,2, 12GB
m148,2, 12GB
m149,2, 12GB
m15,2, 12GB
m150,2, 12GB
m155,2, 12GB
m156,2, 12GB
m158,2, 12GB
m159,2, 12GB
m16,2, 12GB
m161,2, 12GB
m162,2, 12GB
m164,2, 12GB
m165,2, 12GB
m168,2, 12GB
